Algoritmo,Ponto inicial,# de iteracoes,# de cham. de armijo,Ponto otimo,Valor otimo,Erro de aproximação,Tempo de exec (s)
gradiente,"[ 0.1  -0.3   0.5  -0.7   0.9  -0.2   0.4  -0.6   0.8  -1.    0.01 -0.02
  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04
  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01
 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03
 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05
  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02
  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04
  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01
 -0.02  0.03 -0.04  0.05]",50,605,"[-2.90353408 -2.90353403  2.74680277 -2.90353403  2.74680277 -2.90353403
  2.74680277 -2.90353403  2.74680277 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",-7720.13938836639,3.293542949289101e-06,948.6242868900299
gradiente,"[-0.9   0.7  -0.5   0.3  -0.1   0.8  -0.6   0.4  -0.2   1.   -0.01  0.02
 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04
 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01
  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03
  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05
 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02
 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04
 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01
  0.02 -0.03  0.04 -0.05]",13,50,"[-2.90353403  2.74680277 -2.90353403  2.74680277 -2.90353403  2.74680277
 -2.90353403  2.74680277 -2.90353403  2.74680277 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",-7691.86595026942,1.8866205284720506e-07,88.24806022644043
gradiente,"[ 0.2  -0.4   0.6  -0.8   1.   -0.1   0.3  -0.5   0.7  -0.9   0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",50,547,"[ 2.74680261 -2.90353403  2.74680277 -2.90353403  2.74680277 -2.90353403
  2.74680277 -2.90353403  2.74680277 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",-7691.86595026942,9.500149914152558e-06,852.7363169193268
gradiente,"[-0.8   0.6  -0.4   0.2  -1.    0.9  -0.7   0.5  -0.3   0.1  -0.02  0.03
 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05
 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02
  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04
  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06
 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03
 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05
 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02
  0.03 -0.04  0.05 -0.06]",50,663,"[-2.90353403  2.74680277 -2.90353403  2.74680303 -2.90353403  2.74680277
 -2.90353403  2.74680277 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",-7720.13938836639,1.5035171554517444e-05,1024.4289860725403
gradiente,"[ 0.5  -0.5   0.5  -0.5   1.   -0.1   0.2  -0.3   0.4  -0.6   0.03 -0.04
  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06
  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03
 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05
 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07
  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04
  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06
  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03
 -0.04  0.05 -0.06  0.07]",50,675,"[ 2.74680277 -2.90353403  2.74680277 -2.90353403  2.74680277 -2.90353403
  2.74680303 -2.90353403  2.74680277 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",-7691.86595026942,1.5028725356611444e-05,1030.4176971912384
newton,"[ 0.1  -0.3   0.5  -0.7   0.9  -0.2   0.4  -0.6   0.8  -1.    0.01 -0.02
  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04
  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01
 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03
 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05
  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02
  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04
  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01 -0.02  0.03 -0.04  0.05  0.01
 -0.02  0.03 -0.04  0.05]",4,4,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",39.1224718110715,3.0288789523481406e-08,12.977608919143677
newton,"[-0.9   0.7  -0.5   0.3  -0.1   0.8  -0.6   0.4  -0.2   1.   -0.01  0.02
 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04
 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01
  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03
  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05
 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02
 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04
 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01  0.02 -0.03  0.04 -0.05 -0.01
  0.02 -0.03  0.04 -0.05]",4,4,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",39.1224718110715,4.53619565522932e-10,12.91426706314087
newton,"[ 0.2  -0.4   0.6  -0.8   1.   -0.1   0.3  -0.5   0.7  -0.9   0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",4,4,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",39.1224718110715,4.536639809573255e-10,12.782265186309814
newton,"[-0.8   0.6  -0.4   0.2  -1.    0.9  -0.7   0.5  -0.3   0.1  -0.02  0.03
 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05
 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02
  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04
  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06
 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03
 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05
 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02  0.03 -0.04  0.05 -0.06 -0.02
  0.03 -0.04  0.05 -0.06]",4,4,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",39.1224718110715,3.0288790188700994e-08,12.696205139160156
newton,"[ 0.5  -0.5   0.5  -0.5   1.   -0.1   0.2  -0.3   0.4  -0.6   0.03 -0.04
  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06
  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03
 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05
 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07
  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04
  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06
  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03 -0.04  0.05 -0.06  0.07  0.03
 -0.04  0.05 -0.06  0.07]",4,4,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",39.1224718110715,5.611435324143063e-14,12.58598804473877
